,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,labels
gun smoke - 21 Savage,0.001054224427886029,0.6998087954110902,0.19933682096808292,0.15936952714535912,0.00040642201834862387,1.0,0.19154499891043797,0.6708739196048841,0.0,0.096919756719639,0.0821786122562096,0.0,0.28531421530189316,0
Hide (feat. Seezyn) - Soundtrack,0.11108083104439934,0.5200764818355642,0.4529169308814204,0.4711033274956219,0.0,0.5,0.2220527348006101,0.7614213197969543,0.0,0.0665097115950559,0.6364793709079574,0.0,0.09039991038422762,0
Invincible - Soundtrack,0.2523612475706222,0.5372848948374761,0.39074059395476646,0.4028021015761821,0.002,1.0,0.10655916321638698,0.847304156948827,0.0,0.4879340788699234,0.09076973707001079,0.0,0.4432620141144842,0
Way Up - Soundtrack,0.05334949332683108,0.27151051625239,0.10925940604523354,1.0,7.71559633027523e-05,1.0,0.3070385704946611,1.0,0.0,0.2034530115754365,0.4635137007655802,0.0,0.4253388596392965,0
The Reaper - A Boogie Wit da Hoodie,0.6790711350483007,0.6080305927342257,0.2595976009300359,0.4203152364273205,0.0,0.6000000000000001,0.14796251906733487,0.4840170119357937,1.0,0.10339415342358248,0.5668410295493126,0.0,0.4578245771255741,1
Start a Riot - Soundtrack,0.022511635912477856,0.5449330783938816,0.22613480236736427,0.6252189141856394,0.0,0.2,0.07212900414033557,0.957881739607628,1.0,0.32313125367863443,0.5771382547545642,0.0,0.9182256077069565,1
Look Back At It - A Boogie Wit da Hoodie,0.7292722982809687,0.665391969407266,0.2788588564785458,0.3800350262697022,0.0,0.30000000000000004,0.20244061887121373,0.7534641240224996,0.0,0.0,0.16934561956559402,0.0,0.5216758149434301,2
Beasty - A Boogie Wit da Hoodie,0.5230889492896535,0.7973231357552583,0.10302393785668984,0.0840630472854641,0.0,0.7000000000000001,0.11091741120069729,0.20661270407463306,0.0,0.22895821071218364,0.4288634080437871,0.0,0.3402038758821553,2
Skeezers - A Boogie Wit da Hoodie,1.0,0.6673040152963673,0.40175174381737466,0.1996497373029773,0.0,0.7000000000000001,0.1719328829810416,0.3794759226231308,0.0,0.22307239552678043,0.5500744795094746,0.0,0.31667973563347146,2
letter 2 my momma - 21 Savage,0.09476545299378222,0.8049713193116635,0.3803239272880997,0.41681260945709286,0.00011009174311926606,0.1,0.04990193942035301,0.0,0.0,0.4585050029429076,0.03223403886791143,0.0,0.9999999999999999,3
Home - Soundtrack,0.010463356736637527,0.30783938814531553,0.4896427816529275,0.6409807355516638,1.0,1.0,0.1196339071693179,0.6819865550830018,0.0,0.02785952521090837,0.35948487892749503,0.0,0.30771815839587763,4
What's Up Danger (with Black Caviar) - Soundtrack,0.0060707549537790725,0.49330783938814526,0.5619517543859648,0.6742556917688268,0.007293577981651376,0.2,0.1436042710830246,0.6512553162299355,1.0,0.0007847753580537409,0.16050334291751833,0.0,0.05119300996975468,5
